Source,Target
Address of Tilghman A. Howard,Anson Jones
Anson Jones's reply,Howard *s address 294
Anson Jones,Charles H. Raymond
Isaac Van Zandt,Anson Jones
J. H. Brower,Isaac Van Zandt
Isaac Van Zandt,Anson Jones
Wm. Wilkins,John C. Calhoun
D. Parker,John C. Calhoun
R. Jones,the Secretary of War [of the United States]
R. Jones,Zachary Taylor
Zachary Taylor,AdjutantrGeneral [R. Jones]
G. Loomis,W. W. S. Bliss
Isaac Van Zandt,Anson Jones
J. H. Brower,Isaac Van Zandt
Isaac Van Zandt,Anson Jones
Charles H. Raymond,Anson Jones
Charles H. Raymond,Anson Jones
Charles H. Raymond,Anson Jones
Anson Jones,James Reily
Anson Jones,Charles H. Raymond
Charles H. Raymond,Anson Jones
A. J. Donelson,Anson Jones
M.S. CucuUu,John C. Spencer
Balie Peyton,M. S. CucuUu
Eddy and Moss,the collector of the customs at New Orleans
Charles H. Raymond,the Secretary of State of Texas [Jones]
John C. Calhoun,Charles H. Raymond
Charles H. Raymond,John C. Calhoun
A. J. Donelson,Anson Jones
Anson Jones,A. J. Donelson
A. J. Donelson,Secretary of State [Allen]
Ebenezer Allen,A. J. Donelson
A. J. Donelson,Ebenezer Allen
Charles H. Raymond,the Secretary of State of Texas [Allen]
John C. Calhoun,Charles H. Raymond
Charlee H. Raymond,John C. Calhoun
Ebenezer Allen,A. J. Donelson
Charles H. Raymond,Ebenezer Allen
A. J. Donelson,Ebenezer Allen
Ebenezer Allen,Charles H. Raymond
Charles H. Raymond,Ebenezer Allen
Ebenezer Allen,Charles H. Raymond
Charles H. Raymond,Ebenezer Allen
Ebenezer Allen,Charles H. Raymond
A. J. Donelson,Ebenezer Allen
Duff Green,A. J. Donelson
Williams,Thurston
A. J. Donelson,Ebenezer Allen
Ebenezer Allen,A. J. Donelson
Charles H. Raymond,Ebenezer Allen
John C. Calhoun,Charles H. Raymond
Charles H. Raymond,Ebenezer Allen
Charles H. Raymond,John C. Calhoun
Ashbel Smith,A. J. Donelson
Ashbel Smith,Charles H. Raymond
Charles H. Raymond,Ebenezer Allen
Charles H. Raymond,John C. Calhoun
Charles H. Raymond,John C. Calhoun
Charles H. Raymond,Ebenezer Allen
Charles H. Raymond,Ebenezer Allen
Ashbel Smith,Charles H. Raymond
Ashbel Smith,Stewart Newell
Charles H. Raymond,Ashbel Smith
A. J. Donelson,Ebenezer Allen
Charles H. Raymond,Ebenezer Allen
Charles H. Raymond,Ebenezer Allen
Ebenezer Allen,David S. Kaufman
Ebenezer Allen,David S. Kaufman
Anson Jones,James K. Polk
Ebenezer Allen,William D. Lee
T. Hartley Crawford,Andrew J. Donelson
E. A. Rhodes,Ebenezer Allen
J. Y. Mason,E. A. Rhodes
E. A. Rhodes,Ebenezer Allen
Anson Jones,Zachary Taylor
Ebenezer Allen,E. A. Rhodes
William D. Lee,Ebenezer Allen
James Buchanan,William D. Lee
William D. Lee,James Buchanan
David S. Kaufman,Ebenezer Allen
David S. Kaufman,James Buchanan
William D. Lee,Ebenezer Allen
Ebenezer Allen,David S. Kaufman
William D. Lee,Ebenezer Allen
W. L. Marcy,David S. Kaufman
David S. Kaufman,Ebenezer Allen
William D. Lee,Ebenezer Allen
William D. Lee,James Buchanan
Anson Jones,James K. Polk
Joseph C. Eldredge,E. A. Rhodes
Anson Jones,James K. Polk
R. J. Walker,Hiram G. Runnels
David G. Burnet,Anto. Lopez de Santa Anna
David G. Burnet,Anto. Lopez de Santa Anna
David G. Burnet,Anto. Lopez de Santa Anna
David G. Burnet,Anto. Lopez de Santa Anna
Anto. Lopez de Santa Anna,David G. Burnet
Anto. Lopez de Santa Anna,David G. Burnet
Anto. Lopez de Santa Anna,David G. Burnet
Anto. Lopez de Santa Anna,Sam Houston
Stephen F. Austin,Fran. Pizarro Martinez
Geo. W. Hockley,Sam Houston
Geo. W. Hockley,Sam Houston
Barnard E. Bee,Sam Houston
Fran. Pizarro Martinez,Stephen F. Austin
A. J. Yates,Stephen F. Austin
Correspondent in Tampico,T. Toby
Correspondent in Tampico,T. Toby
Antonio Canales,Mirabeau B. Lamar
James Webb,Barnard E. Bee
Barnard E. Bee,James Webb
James Webb,Barnard E. Bee
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb [April 7 1839
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Geo. L. Hammeken,James Hamilton
Geo. L. Hanmieken,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
James Hamilton,Mirabeau B. Lamar
J. R. Poinsett,James Hamilton
James Hamilton,Mirabeau B. Lamar
James Hamilton,R. Copeland
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
James Hamilton,Mirabeau B. Lamar
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
Barnard E. Bee,James Webb
James Webb,Barnard E. Bee
Barnard E. Bee,James Webb
BaniaxdE. Bee,James Webb
Barnard E. Bee to [Lamar],July [?] 3839 467
James Hamilton,Mirabeau B. Lamar
Mirabeau B. Lamar,James Treat
David G. Burnet,James Treat
Barnard E. Bee,David G. Burnet
Jacob Barker,Barnard E. Bee
James Treat,David G. Burnet
DaAdd G. Burnet,James Treat
James Treat,Mirabeau B. I^mar
James Treat,David G. Burnet
James Treat,David G. Burnet
James Treat,David G. Burnet
James Treat,Mirabeau B. I^mar
A Friend of Treat in Mexico,a Friend of Treat in New Orleans [Vitalba]
A Friend of Treat in New Orleans [Vitalba] to James Treat,September
James Treat,David G. Biumet
James Treat,David G. Burnet
James Treat,David G. Burnet
James Treat,David G. Burnet
A. S. Wright,Wm. Bryan
James Treat,David G. Burnet
James Treat,David G. Burnet
A. S. Wright,William Bryan
Juan de Dios Cafiedo,R. Pakenham
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,James Hamilton
James Treat,Mirabeau B. Lamar
David G. Burnet,James Hamilton
A. S. Wright,Wm. Bryan
A. S. Wright,John Merle
A. S. Wright,Wm. Bryan
James Treat,Mirabeau B. Lamar
James Hamilton,David G. Burnet
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
Abner S. Lipscomb,Barnard E. Bee
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Juan de Dios CaAedo
James Treat,Juan de Dios Cafiedo
James Treat,Juan de Dios Cafiedo
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Juan de Dios Cafiedo
James Treat,Juan Nepomuceno Almonte
James Treat,Juan de Dies Cafiedo
James Treat,Juan de Dies Cafiedo
James Treat,Juan de Dios Cafiedo
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
David G. Burnet,James Treat
David G. Burnet,R. Pakenham
David G. Burnet,R. Pakenham
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
Propositions of Texas,Mexico
James Treat,Mirabeau B. I^amar
Abner S. Lipscomb,James Treat
Abner S. Lipscomb,Hamilton and Burnley
James Treat,Secretary of State [Lipscomb]
Jas. Ogilvy,R. Pakenham
Jas. Ogilvy,R. Pakenham
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
Correspondent at Vera Cruz,David G. Burnet
James Treat,Mirabeau B. Lamar
James Treat,Juan de Dios Cafiedo
A. S. Wright,Barnard E. Bee
Barnard E. Bee,Secretary of State [Lipscomb]
James Treat,Mirabeau B. Lamar
R. Pakenham,David G. Burnet
James Treat,Mirabeau B. Lamar
A. S. Wright,Barnard E. Bee
A. S. Wright,Barnard E. Bee
A. S. Wright,Barnard E. Bee
A. S. Wright,Barnard E. Bee
Barnard E. Bee,Secretary of State [Lipscomb]
Abner S. Lipscomb,James Hamilton
Abner S. Lipscomb,James Treat
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,James Ritchie
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
Abner S. Lipscomb,James Treat
James Treat,Mirabeau B. Lamar
James Treat,Abner S. Lipscomb
Mirabeau B. Lamar,E. W. Moore
A. S. Wright,Barnard E. Bee
A. S. Wright,Barnard E. Bee
James Treat,Abner S. Lipscomb
James Treat,Mirabeau B. Lamar
James Treat,Juan de Dios Cafiedo
Barnard E. Bee,James Treat
James Treat,Abner S. Lipscomb
James Treat,Mirabeau B. Lamar
James Treat,Mirabeau B. Lamar
James Treat,Abner S. Lipscomb
James Treat,Mirabeau B. Lamar
A. S. Wright,Barnard E. Bee
A. S. Wright,Barnard E. Bee
James Treat,Mirabeau B. Lamar
James Treat,Abner S. Lipscomb
James Treat,E. W. Moore
E. W. Moore,James Treat
E. W. Moore,Muabeau B. Lamar
E. W. Moore,Abner S. Lipscomb
James Treat,Abner S. Lipscomb
Memorandum communicated by Treat,Mexican Government
Abner S. Lipscomb,James Treat
James Treat,Abner S. Lipscomb
Agent of Texas [Treat] to Secretary of State of Mexico [Cafledo],Septem-
James Treat,Abner S. Lipscomb
James Treat,Abner S. Lipscomb
James Treat,Abner S. Lipscomb
E. W. Moore,James Treat
E. W. Moore,Joaquin Rivas Sayas
Joaquin Rivas Sayas,E. W. Moore
Nathaniel Amory,Abner S. Lipscomb
Juan N. Leplicher,Nathaniel Amory
A. S. Wright,Nathaniel Amory
Juan Vitalba,Mirabeau B. Lamar
James Treat,R. Pakenham
James Treat,R. Pakenham
James Treat,R. Pakenham
R. Pakenham,James Treat
Juan de Dies Cafiedo,R. Pakenham
R. Pakenham,James Treat
R. Pakenham,James Treat
R. Pakenham,James Treat
R. Pakenham,James Treat
James Treat,E. W. Moore
James Treat,E. W. Moore
A. S. Wright,Mirabeau B. Lamar
James S. Mayfield,James Webb
Samuel A. Roberts,Cooke and others
Samuel A. Roberts,Wm. G. Cooke
Samuel A. Roberts,Rafael Uribe
Samuel A. Roberts,Van Ness and Morris
Mirabeau B. Lamar,Mariano Arista
James Webb,James S. Mayfield
James Webb,Ignacio de Mora
Ignacio de Mora,James Webb
James Webb,R. Pakenham
R. Pakenham,James Webb
Sebastian Canacho,R. Pakenham
R. Pakenham,James S. Mayfield
James Webb,R. Pakenham
James Webb,Mirabeau B. Lamar
Samuel A. Roberts,James Webb
John D. Morris,Samuel A. Roberts
John D. Morris,Samuel A. Roberts
Van Ness and Morris,Rafael Uribe [July 18 1841
Van Ness and Morris,Carrasco
Van Ness and Morris,Mariano Arista
Mariano Arista,Van Ness and Morris
Brenham and Cooke,Secretary of State [Roberts]
Anson Jones,James Hamilton
Sam Houston,Secretary of State [Jones]
Sam Houston to*Hockley and Williams,February 3 1843
G. W. Hill,Adrian Woll
Reuben M. Potter,Ashbel Smith
Mirabeau B. Lamar,Governor of Yucatan
Miguel Barbachano,Mirabeau B. Lamar
Martin F. Peraza,Samuel A. Roberts
Samuel A. Roberts,Martin F. Peraza
Martin F. Peraza,Samuel A. Roberts
E. W. Moore,PedrffLemus
Pedro Lemus,E. W. Moore
Joaquin G. Rej6n,Secretary of State [Waples
Joaquin G. Rei6n,Secretary of State [Waples
Instructions,Peraza
Joaquin G. Rej6n,President of Texas
Pedro Lemus,Secretary of State [Rej6n]
R. A. Irion,J. Pinckney Henderson
J. Pinckney Hendersdh,Secretary of State [Irion]
R. A. Irion,J. Pinckney Henderson
J. Pinckney Henderson,Secretary of State [Irion]
J. Pinckney Henderson,Lord Palmerston
I^rd Palmerston,J. Pinckney Henderson
J. Pinckney Henderson,Lord Palmerston
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
J. Pinckney Henderson,Lizardi &lt;k Co.
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Lord Palmerston
J. Pinckney Henderson,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
R. A. Irion,J. Pinckney Henderson
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Lord Palmerston
J. Pinckney Henderson,Lord Palmerston
J. Pinckney Henderson,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
R. A. Irion,Agent of Lloyds
R. A. Irion,J. Pinckney Henderson
J. Pinckney Henderson,R. A. Irion
J. Pinckney Hendereon,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
J. Pinckney Henderson,Lord Palmerston
J. Pinckney Henderson,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
J. Pinckney Henderson,Lord Palmerston
Lord Palmerston,J. Pinckney Henderson
R. A. Irion,J. Pinckney Henderson
R. A. Irion,J. Pinckney Henderson
R. A. Irion,J. Pinckney Henderson
Jamee Hamilton,H. S. Fox
H. S. Fox,James Hamilton
David G. Burnet,J. Pinckney Henderson
David G. Burnet,Jamee Hamilton
J. Pinckney Henderson,Secretary of State [Burnet]
J. Pinckney Henderson,Secretary of State [Burnet]
J. Pinckney Henderson,Secretary of State [Biumet]
James Hamilton,David G. Burnet
R. Pakenham,James Hamilton
Jamee Hamilton,R. Pakenham
Jamee HamUton,R. Pakenham
James Buchanan,E. W. Moore
E. W. Moore,James Buchanan
James Hamilton,Abner S. Lipecomb
Jamee Hamilton,Lord Palmerston
James Treat,Mirabeau B. Lamar
James Treat,Abner S. Lipscomb
R. Pakenham,James Treat
James Treat,Ri. Pakenham
Abner S. Lipecomb,R. Pakenham
John Taylor,Mirabeau B. Lamar
List of negro subjects of Great Britain alleged,be held in slavery in Texas
James Hamilton,Abner S. Lipecomb
Mirabeau B. Lamar,Lord Russell
Joseph Waples,Wm. Barron
James Hamilton,Abner S. Lipecomb
Geo. S. Mcintosh,Mirabeau B. Lamar
James Hamilton,Abner S. Lipscomb
James Hamilton,Lord Palmerston
Abner S. Lipecomb,Wm. Barron
James Hamilton,Mirabeau B. Lamar
James Hamilton,Monroe Edwards
Lord Palmerston,James Hamilton
James Hamilton,Abner S. Lipscomb
James Hamilton,Abner S. Lipscomb
Hamilton and Burnley,James H. Starr
James Hamilton,Abner S. Lipscomb
James Hamilton,Lord Palmerston
Lord Palmerston,James Hamilton
James Hamilton,Mirabeau B. Lamar
Lord Palmerston,James Hamilton
James S. Mayfield,James Hamilton
James S. Mayfield,James Hamilton
A. T. Biimley,David G. Burnet
Arthur Ikin,James S. Mayfield
James Hamilton,James S. Mayfield
Samuel A. Roberts,James Hamilton
John Crawford,Mirabeau B. Lamar
Lord Palmerston,Mirabeau B. Lamar
James Hamilton,Samuel A. Roberts
Anson Jones,James Hamilton
James Hamilton,Anson Jones
James Hamilton,Anson Jones
James Hamilton,Nathaniel Amory
James Hamilton,Anson Jones
James Hamilton,Anson Jones
Anson Jones,Ashbel Smith
Arthur Ikin,Anson Jones
Anson Jones,Ashbel Smith
Geo. Fisher,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Anson Jones,Ashbel Smith
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Lord Aberdeen,Secretary of State of Texas [Jones]
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Lord Aberdeen
Ashbel Smith,Anson Jones
Ashbel Smith,Edward Everett
Edward Everett,Ashbel Smith
Edward Everett,Ashbel Smith
Edward Everett,Ashbel Smith
Ashbel Smith,Samuel Amory
Samuel Amory,George K. Teulon
Ashbel Smith,Edward Everett
Edward Everett,Ashbel Smith
Ashbel Smith,Edward Everett
A^bel Smith,Lord Aberdeen
Ashbel Smith,Lord Aberdeen
Lord Aberdeen,Ashbel Smith
M. P. Russell,Ashbel Smith
Ashbel Smith,James Reily
Ashbel Smith,Geo. S. Mcintosh
Ashbel Smith,Lord Aberdeen
M. P. Russell,Ashbel Smith
Lord Aberdeen,Ashbel Smith
Ashbel Smith,Geo. S. Mcintosh
Ashbel Smith,Lord Aberdeen
lx)rd Aberdeen,Ashbel Smith
Ashbel Smith,M. P. Russell
Joseph Hume,Ashbel Smith
Lachlin M. Rate,Ashbel Smith
Memorandum concerning War Steamers,be used against Texas
Wm. Pringle,Ashbel Smith
M. P. Russell,Ashbel Smith
William Kennedy,Ashbel Smith
Arthur Ikin,Ashbel Smith
Ashbel Smith,Arthur Ikin
Fox Sons &amp; Co. to Ashbel Smith,July 2 1842
Ashbel Smith,Lord Aberdeen
Gabriel Shaw,Ashbel Smith
Ashbel Smith,Joseph Hume
Ashbel Smith,Lachlin M. Rate
Wm. Pringle,Ashbel Smith
Ashbel Smith,Wm. Pringle
Lachlin M. Rate,Ashbel Smith
Certificate of Exchange of Ratification of Convention as,Debt be-
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Wm. Pringle
Wm. Pringle,Ashbel Smith
Wm. Pringle,Ashbel Smith
G. W. Terrell,Ashbel Smith
Charles Elliot,Secretary of State [Jones]
G. W. Terrell,Charles Elliot
G. W. Terrell,Lord Aberdeen
Ashbel Smith,Lord Aberdeen
Charles Elliot,G. W. Terrell
Joseph Waples,Charles Elliot
Ashbel Smith,Anson Jones
Ashbel Smith,Lord Aberdeen
Ashbel Smith,H. U. Addington
Ashbel Smith,Texan Consuls
Ashbel Smith,Anson Jones
Ashbel Smith,Lord Aberdeen
Charles Elliot,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
James Hamilton,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Lord Aberdeen,Ashbel Smith
Lord Aberdeen,Ashbel Smith
Lord Aberdeen,Ashbel Smith
Ashbel Smith,Lord Aberdeen
Charles Elliot,G. W. Terrell
James Hamilton,Anson Jones
James Hamilton,Anson Jones
James Hamilton,Lords of the Treasury
H. U. Addington,James Hamilton
James Hamilton,Senior Officer of British Navy
G. W. Terrell,Charles Elliot
G. W. Terrell,Ashbel Smith
Charles Elliot,G. W. Terrell
Anson Jones,Sam Houston
Anson Jones,Charles Elliot
Ashbel Smith,Anson Jones
Lord Aberdeen,Ashbel Smith
Ashbel Smith,Lord Aberdeen
Ashbel Smith,Lord Aberdeen
Ashbel Smith,Lachlin M. Rate
Charles Elliot,Anson Jones
Anson Jones,Ashbel Smith
Anson Jones,Ashbel Smith
Anson Jones,Ashbel Smith
Charles Elliot,Anson Jones
Sam Houston,Charles Elliot
Anson Jones,Ashbel Smith
Charles Elliot,Anson Jones
Percy W. Doyle,Charles Elliot
Anson Jones,Charles Elliot
Anson Jones,Ashbel Smith
Ashbel Smith,Wm. Henry Daingerfield
Ashbel Smith,Anson Jones
Charles Elliot,Anson Jones
Anson Jones,Charles Elliot
Ashbel Smith,Wm. Henry Daingerfield
Ashbel Smith,Anson Jones
Ashbel Smith,Isaac Van Zandt
Ashbel Smith,Isaac Van Zandt
Ashbel Smith,Anson Jones
Ashbel Smith,Wm. Henry Daingerfield
Ashbel Smith,Wm. Henry Daingerfield
Ashbel Smith,Wm. Henry Daingerfield
Aahbel Smith,Anson Jones
Charles Elliot,Anson Jones
Anson Jones,Charles Elliot
Ashbel Smith,Anson Jones
Charles Elliot,Anson Jones
Anson Jones,Ashbel Smith
Ashbel Smith,Anson Jones
Baron de Cetto,Ashbel Smith
Ashbel Smith,Baron de Cetto
Charles Elliot,Anson Jones
Anson Jones,Charles Elliot
Anson Jones,Charles Elliot
Charles Elliot,Anson Jones
Anson Jones,Charles Elliot
Anson Jones,Charles Elliot
Ashbel Smith,Anson Jones
Ashbel Smith,Lord Aberdeen
Charles Elliot,Anson Jones
Anson Jones,Ashbel Smith
Charles Elliot,Anson Jones
Charles Elliot,Anson Jones
Ashbel Smith,Anson Jones
Edwaid Everett,Ashbel Smith
Ashbel Smith,Edward Everett
Charles Elliot,Anson Jones
Anson Jones,Charles Elliot
Anson Jones,Charles Elliot
Charles Elliot,Anson Jones
Charles Elliot,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Anson Jones,Ashbel Smith
Ashbel Smith,Anson Jones
Holford &amp; Co. to Ashbel Smith,undated 1159
Holford &amp; Co. to Ashbel Smith,July 21 1842
Anson Jones,Ashbel Smith
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
William Kennedy,Anson Jones
Anson Jones,G. W. Terrell
Anson Jones,William Kennedy
William Kennedy,Anson Jones
John Hall,William Kennedy
Ebenezer Allen,William Kennedy
G. W. Terrell,Ashbel Smith
G. W. Terrell,Wm. Henry Daingerfield
G. W. Terrell,Ashbel Smith
G. W. Terrell,Ashbel Smith
Charles Elliot,Ashbel Smith
G. W. Terrell,Wm. Henry Daingertield
G. W. Terrell,Ashbel Smith
G. W. Terrell,Lord Clarendon
G. W. Terrell,Ashbel Smith
Ebenezer Allen,Ashbel Smith
Ashbel Smith,Ebenezer Allen
Ashbel Smith,Secretary of State [Allen]
Ebenezer Allen,Ashbel Smith
Ebenezer Allen,Charles Elliot
Charles Elliot,Ebenezer Allen
Lord Aberdeen,Charles Elliot
Ebenezer Allen,Charles Elliot
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Count Mol^
J. Pinckney Henderson,Count Mol^
Count Mol6,J. Pinckney Henderson
J. Pinckney Henderson,Count Mol6
R. A. Irion,J. Pinckney Henderson
R. A. Irion,J. Pinckney Henderson
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Count Mol^
J. Pinckney Henderson,Count Mol6
Count Mol6,J. Pinckney Henderson
J. Pinckney Henderson,Count Mol^
J. Pinckney Henderson,Secretary of State [Irion]
J. Pinckney Henderson,R. A. Irion
J. Pinckney Henderson,Mirabeau B. Lamar
J. Pickney Henderson,Secretary of State [Irion]
Count Mol6,J. Pinckney Henderson
J. Pinckney Henderson,Count Mol6
J. Pinckney Henderson,Count Mol6
J. Pinckney Henderson,Secretary of State [Irion]
J. Pinckney Henderson,Secretary of State [Bee]
J. Pinckney Henderson,Mirabeau B. Lamar
J. Pinckney Henderson,Barnard E. Bee
J. Pinckney Henderson,Barnard E. Bee
Abb6 Anduz6,Mirabeau B. Lamar
James Webb,Abb6 Anduz6
James Webb,Admiral Baudin
J. Pinckney Henderson,James Webb
J. Pinckney Henderson,James Webb
J. Pinckney Henderson,James Webb
J. Pinckney Henderson,Secretary of State [Burnet]
Hamilton and Burnley,Mirabeau B. Lamar
